x_cat	y_cat	est_x	est_y
9.86457  44.0959  -7.26234  -17.1733
9.86457  44.0959  -7.32669  -17.2298
9.86457  44.0959  -7.41256  -17.2844
9.86457  44.0959  -7.50695  -17.3404
9.86457  44.0959  -7.60117  -17.386
9.86457  44.0959  -7.67684  -17.4148
9.86457  44.0959  -7.74762  -17.4479
9.86457  44.0959  -7.82287  -17.4937
9.86457  44.0959  -7.91799  -17.542
9.86457  44.0959  -8.01248  -17.5914
9.86457  44.0959  -8.08779  -17.6529
9.86457  44.0959  -8.13926  -17.7169
9.86457  44.0959  -8.18175  -17.7743
9.86457  44.0959  -8.25679  -17.8428
9.86457  44.0959  -8.28079  -17.9007
9.86457  44.0959  -8.34574  -17.9637
9.86457  44.0959  -8.39197  -18.0228
9.86457  44.0959  -8.41852  -18.0692
9.86457  44.0959  -8.48294  -18.1166
9.86457  44.0959  -8.55711  -18.1499
9.86457  44.0959  -8.65935  -18.1855
9.86457  44.0959  -8.71488  -18.2129
9.86457  44.0959  -8.84101  -18.26
9.86457  44.0959  -8.90059  -18.298
9.86457  44.0959  -8.97153  -18.3551
9.86457  44.0959  -9.03002  -18.4122
9.86457  44.0959  -9.06936  -18.4566
9.86457  44.0959  -9.09474  -18.5161
9.86457  44.0959  -9.11629  -18.5665
9.86457  44.0959  -9.12866  -18.6315
9.86457  44.0959  -9.14022  -18.6852
9.86457  44.0959  -9.15586  -18.7481
9.86457  44.0959  -9.17215  -18.8139
9.86457  44.0959  -9.18853  -18.8701
9.86457  44.0959  -9.20618  -18.9339
9.86457  44.0959  -9.23525  -19.0012
9.86457  44.0959  -9.2504  -19.0514
9.86457  44.0959  -9.25843  -19.0858
9.86457  44.0959  -9.28244  -19.1198
9.86457  44.0959  -9.29778  -19.1513
9.86457  44.0959  -9.32163  -19.1943
9.86457  44.0959  -9.33937  -19.2464
9.86457  44.0959  -9.35089  -19.2935
9.86457  44.0959  -9.353  -19.3336
9.86457  44.0959  -9.34215  -19.3822
9.86457  44.0959  -9.33634  -19.4295
9.86457  44.0959  -9.33073  -19.4746
9.86457  44.0959  -9.35273  -19.5228
9.86457  44.0959  -9.38005  -19.5627
9.86457  44.0959  -9.40407  -19.597
9.86457  44.0959  -9.42047  -19.6335
9.86457  44.0959  -9.42765  -19.6554
9.86457  44.0959  -9.46162  -19.6726
9.86457  44.0959  -9.50326  -19.693
9.86457  44.0959  -9.52263  -19.7169
9.86457  44.0959  -9.55705  -19.727
9.86457  44.0959  -9.59301  -19.738
9.86457  44.0959  -9.61712  -19.7304
9.86457  44.0959  -9.64948  -19.7218
9.86457  44.0959  -9.70068  -19.7325
9.86457  44.0959  -9.77676  -19.7385
9.86457  44.0959  -9.79175  -19.7216
9.86457  44.0959  -9.80809  -19.7008
9.86457  44.0959  -9.83307  -19.6794
9.86457  44.0959  -9.83948  -19.6562
9.86457  44.0959  -9.89649  -19.6558
9.86457  44.0959  -9.95895  -19.6626
9.86457  44.0959  -10.0194  -19.6673
9.86456  44.0959  -10.0671  -19.6726
9.86456  44.0959  -10.1295  -19.6773
9.86456  44.0959  -10.1539  -19.6467
